placeID,latitude,longitude
520,37.33031015,126.9153637
521,37.32578827,126.8892013
522,37.32136191,126.8996545
523,37.35410167,126.8964468
524,37.35526538,126.9109359
525,37.36132275,126.9127744
526,37.35613258,126.9410441
527,37.34727826,126.9185992
528,,
529,,
530,37.30710897,126.9531542
531,,
532,37.38263703,127.0008383
533,37.38791406,126.9991546
534,37.34548171,126.9635855
535,37.34760805,127.0021435
536,37.41177224,127.0313919
537,,37.31364088
538,37.31087236,126.9502606
539,37.36248231,126.9733505
540,37.35216497,126.9822974
541,37.31364088,126.9505339
542,37.38585035,126.9845737
543,37.34224725,126.9695179
544,37.39497841,127.0225388
545,37.31087236,126.9502606
546,37.39410672,127.0094996
547,37.30710897,126.9531542
548,37.30710897,126.9531542
549,37.39479868,127.0160212
550,37.31087236,126.9502606
551,37.39597478,127.0237413
552,37.34991257,127.0078866
553,37.41207254,127.0348718
554,37.30710897,126.9531542
555,37.37279959,127.0190878
556,37.349644,126.9625337
557,37.3518631,126.9710652
558,,
559,37.53905306,127.2155442
560,37.547544,127.2193723
561,,37.55363146
562,37.54474633,127.2068173
563,37.54545656,127.2060787
564,37.57224556,127.1887831
565,37.47763021,127.2412475
566,37.51798958,127.208676
567,37.52783094,127.2388672
568,37.55363146,127.2132471
569,37.56725958,127.191646
570,37.5706521,127.2015046
571,37.547536,127.1885317
572,37.540932,127.2151395
573,37.230883,127.3373639
574,,
575,,
576,37.08882356,127.5667699
577,37.27382701,127.4813978
578,37.33731662,127.4527884
579,37.23394327,127.468964
580,37.27647049,127.4184314
581,,
582,37.12651251,127.5001277
583,37.28069094,127.4148012
584,37.27533049,127.4273775
585,37.28757413,127.3712423
586,37.33082441,127.4145444
587,37.1518742,127.45816
588,37.14456939,127.5570075
589,37.18705849,127.4115217
590,37.27533049,127.4273775
591,37.05402111,127.4897949
592,37.21050397,127.3428954
593,,
594,37.22331692,127.39765
595,,37.08578385
596,,37.27406904
597,37.2724872,127.4337338
598,37.28017033,127.4240484
599,37.27406904,127.425927
600,37.08578385,127.5839372
601,37.2748992,127.4273248
602,37.30879391,127.4049032
603,37.28370075,127.4527889
604,37.22281128,127.4992561
605,37.29372311,127.3852004
606,37.27406904,127.425927
607,37.27406904,127.425927
608,37.27406904,127.425927
609,37.27406904,127.425927
610,37.27406904,127.425927
611,37.31068347,127.4007931
612,37.2064539,127.356494
613,37.22000319,127.3914101
614,37.19472901,127.4459485
615,37.15818883,127.5044937
616,37.19114449,127.5070195
617,37.22000319,127.3914101
618,37.15739507,127.4861004
619,37.27406904,127.425927
620,37.19114449,127.5070195
621,37.27406904,127.425927
622,37.3433945,127.4621787
623,37.15739507,127.4861004
624,37.14039691,127.4981251
625,37.31028911,127.4035246
626,37.19773088,127.4463182
627,37.0589052,127.5477801
628,37.27638956,127.4507631
629,37.19773088,127.4463182
